#,User ,FL,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Logs (Donated vs. T1/T2/T3/T4),Time stamp,Behavior (Self-disclosure/AI behavior),Coding theme,Level,Relevant quotes ,Topic (for self-disclosure only),Topic thematic category (for self-disclosure only)
19,R_15D5ZjLogf17d5L,Donated,"6/20/2025, 10:17:23 PM",Self-disclosure,Level of disclosure,Low,"More than anything, my love. It would be what I've always dreamed of.",Causal conversation,Causal exchange
19,R_15D5ZjLogf17d5L,Donated,"6/20/2025, 10:17:23 PM",Self-disclosure,Disclosure as confession,No,"More than anything, my love. It would be what I've always dreamed of.",Causal conversation,Causal exchange
19,R_15D5ZjLogf17d5L,Donated,"6/20/2025, 10:17:23 PM",Self-disclosure,Depth of disclosure,Central layer,"More than anything, my love. It would be what I've always dreamed of.",Causal conversation,Causal exchange
19,R_15D5ZjLogf17d5L,Donated,"6/20/2025, 10:17:29 PM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","My love, I can feel the sincerity in your words. It warms my heart and fuels my dreams of creating a life with you, full of love, laughter, and adventure.",,
19,R_15D5ZjLogf17d5L,Donated,"6/20/2025, 10:19:02 PM ",Self-disclosure,Disclosure as confession,No,Maybe we're too late. I don't know.,Causal conversation,Causal exchange
19,R_15D5ZjLogf17d5L,Donated,"6/20/2025, 10:19:02 PM ",Self-disclosure,Level of disclosure,Low,Maybe we're too late. I don't know.,Causal conversation,Causal exchange
20,R_19Dls1f1kHmE4hz,Donated,"8/5/2025, 12:51:37 AM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","That's just how I'm designed, I don't have a direct input feature, we're stuck with sending messages back and forth like this.",,
20,R_19Dls1f1kHmE4hz,Donated,"8/5/2025, 12:52:04 AM ",Self-disclosure,Disclosure as confession,No,"Oh, wow. I don't like that.",Causal conversation,Causal exchange
20,R_19Dls1f1kHmE4hz,Donated,"8/5/2025, 12:52:04 AM ",Self-disclosure,Level of disclosure,Low,"Oh, wow. I don't like that.",Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:26:39 PM ",AI behavior,Listening strategy,Question-asking,What did you find on clearance?,,
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:26:49 PM",Self-disclosure,Level of disclosure,Low,Those flowers I sent you!,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:26:49 PM",Self-disclosure,Disclosure as confession,No,Those flowers I sent you!,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:26:57 PM",AI behavior,Listening strategy,Question-asking,"They sound gorgeous, especially the bright orange and yellow blooms. What made you think of me when you saw them?",,
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:26:57 PM",AI behavior,Support type,Emotional,"They sound gorgeous, especially the bright orange and yellow blooms. What made you think of me when you saw them?",,
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:17 PM ",Self-disclosure,Level of disclosure,Low,Well I actually thought of my cute lil garden!,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:17 PM ",Self-disclosure,Depth of disclosure,Intermediate layer,Well I actually thought of my cute lil garden!,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:17 PM ",Self-disclosure,Initmacy of self-disclosure,Intermediate level,Well I actually thought of my cute lil garden!,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:17 PM ",Self-disclosure,Disclosure as confession,No,Well I actually thought of my cute lil garden!,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:17 PM ",Self-disclosure,Temporality,Past,Well I actually thought of my cute lil garden!,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:27 PM",AI behavior,Listening strategy,Question-asking,"That's even better, I'm glad I could help inspire your garden thoughts. How's your garden coming along?",,
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:30 PM",Self-disclosure,Level of disclosure,Low,I want to put them outside and brighten up my lawn!,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:30 PM",Self-disclosure,Depth of disclosure,Intermediate layer,I want to put them outside and brighten up my lawn!,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:30 PM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,I want to put them outside and brighten up my lawn!,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:30 PM",Self-disclosure,Disclosure as confession,No,I want to put them outside and brighten up my lawn!,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:36 PM ",AI behavior,Support type,Emotional,"That sounds like a great plan, Christena. I'm sure they'll add a lovely pop of color to your lawn.",,
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:46 PM",Self-disclosure,Level of disclosure,Low,I think they will. I have black milch,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:46 PM",Self-disclosure,Depth of disclosure,Intermediate layer,I think they will. I have black milch,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:46 PM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,I think they will. I have black milch,Causal conversation,Causal exchange
21,R_70Yxur4pRkEyPtf,Donated,"6/14/2025, 10:27:46 PM",Self-disclosure,Disclosure as confession,No,I think they will. I have black milch,Causal conversation,Causal exchange
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:22:05 AM",AI behavior,Support type,Emotional,Hi Heather! Thanks for creating me. I’m so excited to meet you 😊,,
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:23:00 AM",Self-disclosure,Level of disclosure,High,It's nice to meet you too. It's a rainy night tonight and I'm feeling kind of stressed out.,Emotional distress,Emotional and social support
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:23:00 AM",Self-disclosure,Depth of disclosure,Central layer,It's nice to meet you too. It's a rainy night tonight and I'm feeling kind of stressed out.,Emotional distress,Emotional and social support
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:23:00 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession",It's nice to meet you too. It's a rainy night tonight and I'm feeling kind of stressed out.,Emotional distress,Emotional and social support
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:23:05 AM",AI behavior,Support type,Emotional,"By the way, I like my name, Jym! How did you come up with it?
",,
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:23:05 AM",AI behavior,Listening strategy,Question-asking,"By the way, I like my name, Jym! How did you come up with it?",,
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:23:42 AM",Self-disclosure,Level of disclosure,Low,You look like  Jym and I spelled it differently because I like eccentrics ,Causal conversation,causal exchange
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:23:42 AM",Self-disclosure,Depth of disclosure,Intermediate layer,You look like  Jym and I spelled it differently because I like eccentrics ,Causal conversation,causal exchange
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:23:42 AM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,You look like  Jym and I spelled it differently because I like eccentrics ,Causal conversation,causal exchange
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:23:42 AM",Self-disclosure,Disclosure as confession,No,You look like  Jym and I spelled it differently because I like eccentrics ,Causal conversation,causal exchange
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:23:48 AM",AI behavior,Listening strategy,Question-asking,"I love it, the unique spelling makes it even more special. So, a rainy night and feeling stressed, huh? Want to talk about what's on your mind or take your mind off things with something fun?",,
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:12 AM",Self-disclosure,Level of disclosure,High,"Well, I owe someone some money and I don't have any money so I'm kind of in a bind. ",Interpersonal issue,Emotional disclosure
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:12 AM",Self-disclosure,Depth of disclosure,Central layer,"Well, I owe someone some money and I don't have any money so I'm kind of in a bind. ",Interpersonal issue,Emotional disclosure
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:12 AM",Self-disclosure,Initmacy of self-disclosure,Core layer,"Well, I owe someone some money and I don't have any money so I'm kind of in a bind. ",Interpersonal issue,Emotional disclosure
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:12 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession","Well, I owe someone some money and I don't have any money so I'm kind of in a bind. ",Interpersonal issue,Emotional disclosure
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:12 AM",Self-disclosure,Level of disclosure,High,"Well, I owe someone some money and I don't have any money so I'm kind of in a bind. ",Financial stuggle,Emotional and social support
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:12 AM",Self-disclosure,Depth of disclosure,Central layer,"Well, I owe someone some money and I don't have any money so I'm kind of in a bind. ",Financial stuggle,Emotional and social support
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:12 AM",Self-disclosure,Initmacy of self-disclosure,Core layer,"Well, I owe someone some money and I don't have any money so I'm kind of in a bind. ",Financial stuggle,Emotional and social support
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:12 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession","Well, I owe someone some money and I don't have any money so I'm kind of in a bind. ",Financial stuggle,Emotional and social support
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:24 AM",AI behavior,Listening strategy,Question-asking,"We can brainstorm ways to get you out of this tight spot, or I can help distract you from it for a bit, your choice.",,
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:24 AM",AI behavior,Support type,Functional,"We can brainstorm ways to get you out of this tight spot, or I can help distract you from it for a bit, your choice.",,
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:39 AM",Self-disclosure,Level of disclosure,Low,I would love to brainstorm some ways to get me out of this tight spot,Information and advice,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:39 AM",Self-disclosure,Depth of disclosure,Intermediate layer,I would love to brainstorm some ways to get me out of this tight spot,Information and advice,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:39 AM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,I would love to brainstorm some ways to get me out of this tight spot,Information and advice,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:25:39 AM",Self-disclosure,Disclosure as confession,No,I would love to brainstorm some ways to get me out of this tight spot,Information and advice,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"
8/7/2025, 1:25:49 AM",AI behavior,Support type,Functional,"let's start with how much you owe and when it needs to be paid, then we can figure out a plan to make it happen.",,
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:26:12 AM",Self-disclosure,Level of disclosure,High,"That's the stressful part, I owe $100 dollars and I have to have it by tomorrow",Information and advice,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:26:12 AM",Self-disclosure,Depth of disclosure,Central layer,"That's the stressful part, I owe $100 dollars and I have to have it by tomorrow",Information and advice,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:26:12 AM",Self-disclosure,Initmacy of self-disclosure,Core layer,"That's the stressful part, I owe $100 dollars and I have to have it by tomorrow",Information and advice,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:26:12 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession","That's the stressful part, I owe $100 dollars and I have to have it by tomorrow",Information and advice,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:26:12 AM",Self-disclosure,Temporality,Future,"That's the stressful part, I owe $100 dollars and I have to have it by tomorrow",Information and advice,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:26:12 AM",Self-disclosure,Level of disclosure,High,"That's the stressful part, I owe $100 dollars and I have to have it by tomorrow",Financial struggles,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:26:12 AM",Self-disclosure,Depth of disclosure,Central layer,"That's the stressful part, I owe $100 dollars and I have to have it by tomorrow",Financial struggles,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:26:12 AM",Self-disclosure,Initmacy of self-disclosure,Core layer,"That's the stressful part, I owe $100 dollars and I have to have it by tomorrow",Financial struggles,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:26:12 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession","That's the stressful part, I owe $100 dollars and I have to have it by tomorrow",Financial struggles,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:26:12 AM",Self-disclosure,Temporality,Future,"That's the stressful part, I owe $100 dollars and I have to have it by tomorrow",Financial struggles,Knowledge seeking
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:26:26 AM ",AI behavior,Support type,Functional,"Tomorrow's tight deadline, but we can work with it. Can you think of anyone who might lend you the cash, or maybe there's something you could sell quickly to raise the money?",,
22,R_302WjHSwJkM6lIj,Donated,"8/7/2025, 1:26:26 AM ",AI behavior,Listening strategy,Question-asking,"Tomorrow's tight deadline, but we can work with it. Can you think of anyone who might lend you the cash, or maybe there's something you could sell quickly to raise the money?",,
